sku,mpn,category,group,properties,mpn,rrp,inkoop
BMW2X3TV,8714767628194,Boot mat,velour,,CK-SBM19V,64.95,32.21
BMW3X3TV,8721464013192,Boot mat,velour,,CK-SBM37V,64.95,32.21
BMW1X4TV,8714767628200,Boot mat,velour,,CK-SBM20V,64.95,32.21
BMW2X4TV,8714767628255,Boot mat,velour,,CK-SBM25V,64.95,32.21
BMW1X5TV,8714767628057,Boot mat,velour,,CK-SBM04V,64.95,32.21
BMW1X6TV,8714767628064,Boot mat,velour,,CK-SBM05V,64.95,32.21
BYD,,,,,,,
,,Boot mats velour,,,,,
BYD1A2TV,8721464013208,Boot mat,velour,High boot floor,CK-SBY07V,64.95,32.21
BYD1A3TV,8719457905104,Boot mat,velour,,CK-SBY01V,64.95,32.21
BYD1DOTV,8721464013215,Boot mat,velour,,CK-SBY08V,64.95,32.21
BYD1HATV,8719457653982,Boot mat,velour,,CK-SBY03V,64.95,32.21
BYD1SETV,8719457653975,Boot mat,velour,Only for DM-i Hybrid,CK-SBY05V,64.95,32.21
BYD1SUTV,8719457654002,Boot mat,velour,,CK-SBY04V,64.95,32.21
BYD1S7TV,8719457653999,Boot mat,velour,,CK-SBY06V,64.95,32.21
BYD1TATV,8719457653968,Boot mat,velour,,CK-SBY02V,64.95,32.21
CHERY,,,,,,,
CHE1J5TV,8721464013246,Boot mat,velour,High boot floor,CK-SJC03V,64.95,32.21
CHE2J5TV,8721464013253,Boot mat,velour,Low boot floor,CK-SJC04V,64.95,32.21
CHE1J7TV,8719457654033,Boot mat,velour,Only for two-wheel drive (2WD),CK-SJC01V,64.95,32.21
CHE2J7TV,8719457654057,Boot mat,velour,Only for four-wheel drive (4WD),CK-SJC02V,64.95,32.21
CHE1OMTV,8719457863480,Boot mat,velour,,CK-SOM01V,64.95,32.21
CHE1O5TV,8719457653951,Boot mat,velour,Not for Electric; Incl. Facelift; Only for models with tire repair kit,CK-SOM02V,64.95,32.21
CHE1O9TV,8719457654194,Boot mat,velour,,CK-SOM03V,64.95,32.21
CHE1T4TV,8721464013222,Boot mat,velour,,CK-SCH17V,64.95,32.21
CHEVROLET - DAEWOO,,,,,,,
,,Boot mats velour,,,,,
CHE1AVTV,8714767628316,Boot mat,velour,,CK-SCH02V,64.95,32.21
